Age,Experience,Salary
54,24,1319294
26,38,961177
35,34,1164022
45,2,45542
21,36,797012
20,29,626320
31,37,1157428
24,33,764740
56,11,625353
51,18,958353
28,36,1014532
54,16,830052
38,9,339076
35,11,388420
22,15,280671
39,23,847163
43,18,765424
52,7,367744
43,30,1310331
30,20,560634
27,16,386798
55,22,1182420
57,36,2031300
59,15,924881
39,5,155749
54,7,353121
44,24,1043487
54,17,961947
44,24,1039361
48,11,499223
37,14,540930
37,25,889056
21,25,503380
54,31,1650035
35,9,295620
55,15,794877
52,6,317316
23,16,382041
52,22,1147352
33,25,805911
40,20,782784
39,21,772191
27,6,145160
26,13,378536
22,14,322641
36,6,215723
52,8,369631
31,7,173172
41,22,894080
41,28,1187097
49,17,873353
57,30,1680281
57,29,1631671
27,38,1027431
46,34,1604900
46,17,824961
53,38,1992602
40,16,678789
49,13,638399
52,30,1533472
47,23,1080230
52,34,1791616
24,33,749099
38,2,51431
23,36,834492
54,39,2152722
36,25,897684
47,22,1014111
49,38,1875936
48,14,644614
25,3,117260
54,28,1503991
56,21,1196476
43,24,1042920
48,12,620294
50,17,863530
54,32,1714224
52,15,737788
40,1,18082
51,34,1773570
42,33,1412816
52,29,1541588
22,12,230531
37,12,482340
44,17,792439
50,31,1544857
22,31,642142
59,34,2004355
43,38,1593866
51,28,1448067
41,28,1162027
42,15,637906
21,9,167138
46,29,1376601
21,24,483956
45,38,1736295
36,19,639439
59,4,233241
52,0,-7467
28,29,790270
58,2,144815
48,13,613279
45,29,1278888
54,3,129630
44,17,759063
43,36,1533144
32,24,770161
26,0,46718
55,14,811074
39,8,339360
20,14,280979
27,23,668661
35,3,61979
33,11,339189
31,36,1108600
42,36,1521560
34,5,198040
47,38,1797558
53,23,1255205
21,10,166910
51,12,619713
42,33,1382857
41,24,968964
44,6,299667
41,3,98227
41,7,242978
25,19,512527
34,28,919153
56,9,513765
52,33,1765084
27,25,664071
24,2,67519
58,5,249503
23,4,102703
25,4,114379
51,22,1167457
49,8,399866
54,34,1802905
59,19,1116838
35,34,1198279
32,17,583489
49,16,760806
38,23,869000
36,2,44168
38,31,1198119
47,34,1586714
45,37,1669093
56,12,677419
45,24,1079145
42,8,363425
28,3,126949
31,13,430811
20,36,672461
20,33,624291
53,10,526804
51,2,128971
44,27,1231471
59,28,1666946
20,8,208989
35,2,104080
58,24,1403332
24,33,819794
41,11,431841
48,8,382758
22,14,334272
31,39,1196643
45,24,1080408
35,4,133950
56,10,566849
41,33,1331044
48,23,1069997
33,14,491751
47,37,1787605
24,7,141911
49,4,201533
24,25,632566
31,17,571870
35,5,139571
45,36,1664463
45,12,547941
40,27,1088005
58,4,268250
55,12,668712
52,16,825541
49,39,1884387
56,31,1779980
42,28,1174908
29,2,93457
24,39,899057
55,33,1829028
53,39,2072731
50,26,1274858
29,12,346689
38,32,1210638
51,5,296598
20,23,456486
24,18,402567
23,15,324739
35,39,1372804
43,27,1114754
35,32,1097044
21,12,269260
47,24,1144912
51,35,1743706
46,26,1154894
39,37,1411037
43,6,291986
31,4,155942
54,30,1621612
52,22,1123725
52,9,423926
56,31,1695496
31,29,905447
22,38,815806
20,30,638199
52,17,875321
59,35,2080095
29,1,1656
48,13,629147
32,12,425396
31,28,867666
50,11,582368
21,38,786787
54,1,66946
42,31,1273727
36,12,477081
45,26,1188056
27,16,385081
48,39,1856196
45,30,1336735
29,33,987102
45,23,1064578
53,34,1777498
26,5,156865
23,18,395656
30,29,887695
48,6,275900
55,9,529899
44,31,1361701
40,33,1289033
55,27,1445805
29,14,391851
56,29,1600832
28,36,1021437
43,28,1167944
54,21,1103873
54,3,152372
55,19,1084464
37,31,1112379
58,35,2016751
51,3,192822
43,26,1073110
42,16,676341
51,11,523087
56,21,1149762
31,16,528617
32,9,247596
42,0,-31687
44,21,940549
54,25,1323705
49,17,850364
36,13,491445
39,28,1120645
44,11,436023
41,35,1444796
32,34,1118073
38,11,460197
55,6,344429
31,28,879627
38,10,363848
31,32,979804
28,5,105379
26,14,373664
47,31,1434766
33,10,348099
50,22,1086060
38,25,994733
35,33,1174122
24,33,758087
54,28,1510868
31,3,66225
44,16,749286
40,34,1316643
55,12,703059
42,38,1582727
35,14,451005
58,28,1639697
58,28,1590029
33,10,294226
50,31,1563646
24,1,34603
54,13,680731
42,19,816926
48,21,963997
30,10,305506
37,26,990229
31,2,61815
28,16,440092
29,27,795539
36,28,1024077
57,20,1111817
26,15,377861
32,36,1115428
59,19,1114934
28,5,100258
46,18,835775
21,4,115580
24,2,92947
48,0,-44531
56,37,2050854
57,14,754256
38,33,1280256
27,34,901937
20,24,529134
41,23,894651
36,11,396288
26,17,476730
44,14,591051
23,15,322386
55,26,1455054
25,7,141184
50,24,1183787
38,16,579621
58,28,1649564
46,7,349984
29,14,415792
45,26,1165253
38,6,212051
58,2,115811
22,28,596447
32,23,769930
47,2,74254
39,19,775045
47,14,665418
27,24,612472
58,29,1635471
20,13,305804
22,6,90329
32,16,496865
47,19,889850
44,35,1544220
52,8,459808
57,37,2065397
25,21,572909
51,1,36525
40,23,923072
35,7,285106
40,10,433820
30,12,394530
56,16,869284
55,7,396330
54,20,1113369
38,17,621122
39,29,1151553
37,17,660906
33,30,1034788
34,37,1270812
50,31,1507999
20,10,172436
22,24,520963
35,32,1072096
42,37,1529279
30,7,186201
31,10,279715
29,21,588309
51,23,1138078
35,16,566614
27,11,252105
57,31,1811848
31,14,386839
43,15,663920
47,21,980619
27,27,721821
47,19,856493
55,32,1727069
45,9,362531
27,39,1040051
47,31,1414736
47,32,1461710
56,1,73155
55,32,1723975
46,32,1484424
36,12,427603
28,29,785252
52,32,1694797
39,12,419431
32,25,824603
47,21,974481
48,38,1866573
32,1,-8443
54,37,2022971
25,38,900162
37,25,909742
24,14,305675
44,33,1475997
21,39,786015
29,10,290057
49,2,80591
24,5,163583
52,8,375833
20,5,57896
37,8,278972
51,38,1937733
30,30,891800
40,31,1286044
45,11,450347
44,7,317063
41,7,332850
46,27,1194643
32,19,598785
52,6,280681
53,10,530026
54,19,991892
20,15,297299
40,3,87073
25,5,105682
47,21,1034798
36,25,946894
24,2,12289
50,13,607927
24,10,238330
57,17,985707
22,11,269454
42,22,939428
56,11,616601
56,12,699465
29,24,648539
29,18,494669
38,35,1350968
36,7,222644
40,28,1088745
33,31,1001228
28,17,460521
20,5,147239
32,17,520928
23,18,382322
20,21,427714
59,36,2161896
51,31,1593292
53,2,85055
47,27,1261891
50,9,481912
27,34,874588
58,28,1664536
45,14,586304
53,32,1653345
22,6,111300
31,11,315259
20,29,621006
24,20,518553
49,30,1435352
49,23,1110365
36,19,653446
42,36,1464336
34,3,114032
56,27,1537415
40,19,807852
33,23,807876
21,31,608521
30,35,1071707
58,33,1887481
57,35,1963474
53,1,49760
57,14,803718
53,33,1743629
37,35,1290232
49,5,281544
34,38,1309169
46,11,506669
53,2,134021
57,17,988184
52,39,2025945
43,20,823140
34,14,509457
49,32,1532357
36,34,1242673
24,25,615633
48,7,362943
23,35,851111
29,29,869258
36,22,754924
29,13,396286
36,13,511269
39,1,63071
43,36,1555326
24,4,136023
53,37,1941651
25,13,345202
21,38,796777
32,24,734994
30,19,587263
42,1,51634
35,38,1290800
50,5,237823
30,16,493878
35,24,808708
27,27,691819
23,1,47905
59,34,2019870
23,36,787283
44,4,156573
22,0,28707
51,39,1969933
22,11,197774
46,35,1632055
48,22,1016983
51,30,1576468
38,10,426334
40,9,328133
24,2,12939
37,13,431781
47,15,711700
41,9,346624
40,28,1076823
25,9,193489
20,11,209961
24,29,675118
31,0,31816
45,4,152263
53,19,970565
33,7,201354
45,11,487951
46,0,41179
28,19,505648
45,27,1215729
41,36,1467971
49,36,1732658
36,11,367253
45,36,1634166
55,27,1483563
20,14,256390
27,5,173664
54,19,1027578
34,13,471025
41,1,23658
33,8,220852
45,36,1664986
47,19,845551
42,25,1071947
33,28,935001
43,0,-841
21,34,715707
45,5,208243
33,36,1159800
26,4,129939
22,32,711828
42,13,503239
37,11,363710
57,19,1054384
54,23,1213038
34,33,1112846
44,24,1093983
56,28,1585821
47,38,1773991
29,30,899057
58,22,1232971
36,37,1311139
58,19,1137445
41,22,929067
45,15,705257
44,7,342742
36,20,707711
32,0,-43470
39,7,234116
44,28,1247794
23,31,663282
29,37,1102473
22,4,39898
37,21,731135
55,33,1771629
41,0,35120
53,25,1364087
27,9,258031
59,29,1694380
38,17,613071
56,16,866074
25,25,665724
45,7,332843
53,39,2056901
25,11,236205
56,26,1461661
52,7,319906
41,24,936591
40,3,132987
25,32,813370
25,0,30685
23,18,418400
49,30,1445150
30,15,431852
49,13,629870
50,4,202756
43,25,1081481
28,27,707283
22,1,5691
50,5,201125
59,8,489065
56,32,1768170
55,24,1278438
43,12,486095
50,8,366154
25,12,258004
21,30,589752
39,10,395426
47,3,117819
30,33,1032051
23,37,825217
34,3,140708
25,37,907994
49,18,847036
57,5,312275
21,33,740756
34,17,577416
30,12,319587
27,22,639665
45,18,760645
24,10,220930
25,0,31835
45,23,1015090
23,6,175489
38,24,914142
39,20,756475
52,14,696888
39,0,-6268
31,11,372623
20,6,116305
45,14,626037
33,20,619346
57,18,976587
56,28,1530763
30,24,729165
55,32,1779615
32,31,978116
22,34,783751
52,37,1965353
25,25,665301
29,10,335648
24,34,791556
42,7,303042
29,13,345099
21,9,184096
32,1,53986
59,8,435230
21,2,21009
39,20,800969
20,25,483866
56,7,426246
28,1,54975
36,5,171855
28,27,787557
30,28,796416
34,25,872516
43,24,1037915
57,11,595058
54,4,242637
49,33,1607718
50,36,1782602
24,14,360658
33,35,1183112
30,14,428067
28,22,593516
53,5,302969
31,20,571089
54,22,1175346
54,15,834663
20,14,240487
59,24,1366155
41,35,1452494
48,10,506229
27,14,366547
30,3,68795
56,20,1125296
33,12,367447
49,21,1015598
54,18,963814
40,33,1360751
56,13,753330
24,3,120745
38,26,1025960
33,28,937278
45,27,1220077
23,34,803906
44,7,267528
44,15,703812
37,35,1295100
59,29,1669179
27,17,457781
58,1,63267
59,12,740379
33,3,72952
51,25,1278798
57,24,1416696
52,29,1508939
42,10,399516
34,6,210526
52,30,1520449
44,9,396290
36,38,1404661
52,12,646954
21,30,602746
33,6,215990
59,35,2073810
59,19,1154297
58,3,139223
25,6,172237
25,0,-47403
22,12,279677
26,21,498659
27,20,576516
34,21,738567
48,27,1261037
52,8,412738
49,25,1246678
58,8,426109
46,14,616010
55,9,453787
48,23,1062472
57,7,372383
52,23,1207709
56,15,859785
46,25,1134518
52,26,1355909
23,36,796351
41,3,142624
21,23,486330
29,18,487282
24,35,874866
29,38,1073778
52,9,442264
57,24,1377675
32,17,499075
50,18,925948
55,35,1923454
43,9,365365
34,32,1110766
48,4,190200
27,34,879002
24,33,755947
48,32,1565222
23,20,504840
31,16,524610
21,21,443142
46,36,1662307
50,14,654493
55,34,1870085
55,27,1469228
45,6,299676
46,31,1427875
24,10,221655
39,9,344472
30,8,239437
29,13,376416
59,12,717711
57,24,1324816
25,1,52175
27,34,932307
42,6,248733
45,20,945028
31,17,488240
45,2,138234
32,38,1258493
59,10,638344
37,38,1427363
44,23,994762
52,18,894259
59,3,177139
31,25,739849
55,37,2066768
23,31,752709
24,38,916869
56,35,1973095
27,39,1073910
47,36,1728710
50,32,1573567
28,35,965292
48,2,120813
